trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.007, 'e': 0.9874000000000014}",30,0,-106.50021984585773,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
43,False,"{'a': 0.007, 'e': 0.9871000000000014}",35,0,-187.37552223242488,"{0: 18, 1: 6, 2: 8, 3: 1, 4: 2}",0
44,False,"{'a': 0.007, 'e': 0.9868000000000015}",30,0,-188.27780847914775,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
45,False,"{'a': 0.007, 'e': 0.9865000000000015}",30,0,-97.2505993016542,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.007, 'e': 0.9862000000000015}",20,0,-78.80370645163518,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
47,False,"{'a': 0.007, 'e': 0.9859000000000016}",20,0,-77.89842858958812,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.007, 'e': 0.9856000000000016}",20,0,-145.18735732234433,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
49,False,"{'a': 0.007, 'e': 0.9853000000000016}",20,0,-71.93298808499311,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.007, 'e': 0.9850000000000017}",25,3,-97.14942315633684,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 1}",1
51,False,"{'a': 0.007, 'e': 0.9847000000000017}",25,0,-114.1300251137589,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
52,False,"{'a': 0.007, 'e': 0.9844000000000017}",20,0,-64.75806273224963,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
53,False,"{'a': 0.007, 'e': 0.9841000000000018}",30,0,-127.48044217806009,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
54,False,"{'a': 0.007, 'e': 0.9838000000000018}",20,0,-122.48371620695609,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
55,False,"{'a': 0.007, 'e': 0.9835000000000018}",25,0,-184.35497686967514,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
56,False,"{'a': 0.007, 'e': 0.9832000000000019}",20,0,-147.24735867347061,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
57,False,"{'a': 0.007, 'e': 0.9829000000000019}",20,0,-60.13470269984579,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
58,False,"{'a': 0.007, 'e': 0.9826000000000019}",20,1,-17.94681722485333,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.007, 'e': 0.982300000000002}",25,0,-102.18062882168451,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.007, 'e': 0.982000000000002}",25,0,-101.1556968624596,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
61,False,"{'a': 0.007, 'e': 0.981700000000002}",20,0,-55.72286978437459,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.007, 'e': 0.981400000000002}",30,0,-95.35445171412924,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.007, 'e': 0.9811000000000021}",20,0,-91.24745056138748,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.007, 'e': 0.9808000000000021}",30,0,-208.57041064954333,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
65,False,"{'a': 0.007, 'e': 0.9805000000000021}",20,0,-109.94161583119325,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
66,False,"{'a': 0.007, 'e': 0.9802000000000022}",20,0,-92.82015275449093,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.007, 'e': 0.9799000000000022}",25,0,-196.76752078434342,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
68,False,"{'a': 0.007, 'e': 0.9796000000000022}",20,0,-71.19109910253677,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.007, 'e': 0.9793000000000023}",25,0,-50.785791749333676,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
70,False,"{'a': 0.007, 'e': 0.9790000000000023}",20,0,-93.66831748494982,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.007, 'e': 0.9787000000000023}",20,0,-112.78389080756013,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
72,False,"{'a': 0.007, 'e': 0.9784000000000024}",25,0,-41.12676071474329,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.007, 'e': 0.9781000000000024}",20,0,-60.6470012989723,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.007, 'e': 0.9778000000000024}",20,0,-128.25937677869217,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
75,False,"{'a': 0.007, 'e': 0.9775000000000025}",20,0,-98.34545502946679,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
76,False,"{'a': 0.007, 'e': 0.9772000000000025}",25,0,-127.07305426572445,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
